"parameter_names","parameter_values"
sd_glaciers,0.00023477309070563666
sd_greenland,0.00024163365013628004
sd_antarctic,0.00032726466369658837
sd_gmsl,0.0022584918238523757
rho_glaciers,-0.6397669767910001
rho_greenland,0.9607893955337814
rho_antarctic,0.9016018815221124
rho_gmsl,0.9995303154754934
thermal_s0,0.013991564203185845
greenland_v0,7.464235597792329
glaciers_v0,0.3925867426291233
glaciers_s0,-0.041206362222186
antarctic_s0,-0.00871017497383128
thermal_alpha,0.05621596946560453
greenland_a,-1.723381069525867
greenland_b,8.151868702093202
greenland_alpha,0.0006962899762851183
greenland_beta,0.00010646827114278513
glaciers_beta0,0.0007612214603136147
glaciers_n,0.7523783019635738
anto_alpha,0.034646714109096005
anto_beta,0.5062988510258574
antarctic_gamma,3.950780841319192
antarctic_alpha,0.42153088454801807
antarctic_mu,9.571686968309784
antarctic_nu,0.013662644078134738
antarctic_precip0,0.5185351877096246
antarctic_kappa,0.06534146900163114
antarctic_flow0,1.1088474475025767
antarctic_runoff_height0,1260.1535353045072
antarctic_c,97.66931342630187
antarctic_bed_height0,787.1703493526819
antarctic_slope,0.0006262902572196628
antarctic_lambda,0.010240394104495714
antarctic_temp_threshold,-16.29824267518256
